"ID","NAMES","P09_POP1529_AsTheCrowFlies_POT_5000"
"97201","L AJOUPA-BOUILLON",2039.96618715
"97202","LES ANSES-D ARLET",1632.05226988
"97203","BASSE-POINTE",1342.84257635
"97204","LE CARBET",1285.96040021
"97205","CASE-PILOTE",8988.93519149
"97206","LE DIAMANT",2369.02540549
"97207","DUCOS",7800.73513952
"97208","FONDS-SAINT-DENIS",1329.44997608
"97209","FORT-DE-FRANCE",22478.46738321
"97210","LE FRANCOIS",4586.98869794
"97211","GRAND RIVIERE",715.52764581
"97212","GROS-MORNE",4951.20780574
"97213","LE LAMENTIN",9698.10350917
"97214","LE LORRAIN",2597.27461791
"97215","MACOUBA",966.06420326
"97216","LE MARIGOT",4292.33256049
"97217","LE MARIN",3180.47957126
"97218","LE MORNE-ROUGE",1880.36528362
"97219","LE PRECHEUR",647.99769234
"97220","RIVIERE-PILOTE",4870.65360039
"97221","RIVIERE-SALEE",5461.74677469
"97222","LE ROBERT",5379.27466848
"97223","SAINT-ESPRIT",6108.96189366
"97224","SAINT-JOSEPH",14549.22917898
"97225","SAINT-PIERRE",1329.46976515
"97226","SAINTE-ANNE",1336.96324476
"97227","SAINTE-LUCE",3848.83753452
"97228","SAINTE-MARIE",4679.59892253
"97229","SCHOELCHER",19188.12163714
"97230","LA TRINITE",3396.76691892
"97231","LES TROIS-ILETS",2410.36767042
"97232","LE VAUCLIN",2967.50391033
"97233","LE MORNE-VERT",2020.50006988
"97234","BELLEFONTAINE",2972.72584111
