"ID","NAMES","P09_POP75P_AsTheCrowFlies_POT_10000"
"97201","L AJOUPA-BOUILLON",3148.2606342
"97202","LES ANSES-D ARLET",1939.83985811
"97203","BASSE-POINTE",2463.83267534
"97204","LE CARBET",4408.77079321
"97205","CASE-PILOTE",9507.50900776
"97206","LE DIAMANT",2627.28788324
"97207","DUCOS",8146.70531504
"97208","FONDS-SAINT-DENIS",7822.26876545
"97209","FORT-DE-FRANCE",12433.878914
"97210","LE FRANCOIS",5886.3849207
"97211","GRAND RIVIERE",1594.90175685
"97212","GROS-MORNE",10903.91118683
"97213","LE LAMENTIN",11670.86510421
"97214","LE LORRAIN",4108.11555638
"97215","MACOUBA",1851.68480219
"97216","LE MARIGOT",5153.80170669
"97217","LE MARIN",3219.42803551
"97218","LE MORNE-ROUGE",4656.94110251
"97219","LE PRECHEUR",1551.00668336
"97220","RIVIERE-PILOTE",4750.19522663
"97221","RIVIERE-SALEE",5490.39507319
"97222","LE ROBERT",7041.87106778
"97223","SAINT-ESPRIT",6353.23817494
"97224","SAINT-JOSEPH",13235.00179503
"97225","SAINT-PIERRE",2603.89104765
"97226","SAINTE-ANNE",1911.27940302
"97227","SAINTE-LUCE",3998.01633195
"97228","SAINTE-MARIE",5486.66844531
"97229","SCHOELCHER",11105.83708556
"97230","LA TRINITE",4719.57380137
"97231","LES TROIS-ILETS",4624.79267825
"97232","LE VAUCLIN",4106.16110563
"97233","LE MORNE-VERT",7444.3815042
"97234","BELLEFONTAINE",7248.21416041
