"ID","NAMES","P09_POP0014_AsTheCrowFlies_POT_10000"
"97201","L AJOUPA-BOUILLON",6593.87484809
"97202","LES ANSES-D ARLET",6918.84635278
"97203","BASSE-POINTE",4996.93585844
"97204","LE CARBET",10698.36408318
"97205","CASE-PILOTE",24130.4079989
"97206","LE DIAMANT",10341.80092683
"97207","DUCOS",28340.88245122
"97208","FONDS-SAINT-DENIS",19228.92044576
"97209","FORT-DE-FRANCE",34220.51950224
"97210","LE FRANCOIS",20499.11909637
"97211","GRAND RIVIERE",3011.85366129
"97212","GROS-MORNE",30300.1592491
"97213","LE LAMENTIN",36242.97687241
"97214","LE LORRAIN",9479.18990481
"97215","MACOUBA",3583.6790912
"97216","LE MARIGOT",12732.78973023
"97217","LE MARIN",10208.43500755
"97218","LE MORNE-ROUGE",10635.86043403
"97219","LE PRECHEUR",2921.66203741
"97220","RIVIERE-PILOTE",15951.37330359
"97221","RIVIERE-SALEE",20166.22388601
"97222","LE ROBERT",23504.76869679
"97223","SAINT-ESPRIT",22299.28981146
"97224","SAINT-JOSEPH",36702.36677871
"97225","SAINT-PIERRE",5469.57948342
"97226","SAINTE-ANNE",6089.91288184
"97227","SAINTE-LUCE",14493.49290475
"97228","SAINTE-MARIE",14548.56907445
"97229","SCHOELCHER",29144.78800244
"97230","LA TRINITE",14633.82630175
"97231","LES TROIS-ILETS",15945.56464572
"97232","LE VAUCLIN",12933.40709588
"97233","LE MORNE-VERT",18423.58562349
"97234","BELLEFONTAINE",18090.56704886
