"ID","NAMES","P09_POP4559_AsTheCrowFlies_POT_0"
"97201","L AJOUPA-BOUILLON",390
"97202","LES ANSES-D ARLET",935
"97203","BASSE-POINTE",744
"97204","LE CARBET",783
"97205","CASE-PILOTE",1089
"97206","LE DIAMANT",1340
"97207","DUCOS",3933
"97208","FONDS-SAINT-DENIS",193
"97209","FORT-DE-FRANCE",18255
"97210","LE FRANCOIS",4213
"97211","GRAND RIVIERE",158
"97212","GROS-MORNE",2387
"97213","LE LAMENTIN",7681
"97214","LE LORRAIN",1567
"97215","MACOUBA",302
"97216","LE MARIGOT",824
"97217","LE MARIN",1986
"97218","LE MORNE-ROUGE",1053
"97219","LE PRECHEUR",331
"97220","RIVIERE-PILOTE",3015
"97221","RIVIERE-SALEE",2707
"97222","LE ROBERT",4771
"97223","SAINT-ESPRIT",2034
"97224","SAINT-JOSEPH",3774
"97225","SAINT-PIERRE",969
"97226","SAINTE-ANNE",1017
"97227","SAINTE-LUCE",2255
"97228","SAINTE-MARIE",3887
"97229","SCHOELCHER",4526
"97230","LA TRINITE",2900
"97231","LES TROIS-ILETS",1586
"97232","LE VAUCLIN",1897
"97233","LE MORNE-VERT",398
"97234","BELLEFONTAINE",263
