"ID","NAMES","P09_POP1529_AsTheCrowFlies_POT_10000"
"97201","L AJOUPA-BOUILLON",5808.77386657
"97202","LES ANSES-D ARLET",5999.87211168
"97203","BASSE-POINTE",4384.76887918
"97204","LE CARBET",10316.25340378
"97205","CASE-PILOTE",23956.74930863
"97206","LE DIAMANT",8917.81650391
"97207","DUCOS",25732.23964834
"97208","FONDS-SAINT-DENIS",18452.59760513
"97209","FORT-DE-FRANCE",33383.44116224
"97210","LE FRANCOIS",18313.5087409
"97211","GRAND RIVIERE",2642.15576159
"97212","GROS-MORNE",28562.50447507
"97213","LE LAMENTIN",34093.85268151
"97214","LE LORRAIN",8544.32709731
"97215","MACOUBA",3134.5377606
"97216","LE MARIGOT",11628.78279475
"97217","LE MARIN",8408.76727946
"97218","LE MORNE-ROUGE",9697.16727684
"97219","LE PRECHEUR",2558.7253616
"97220","RIVIERE-PILOTE",13644.71611338
"97221","RIVIERE-SALEE",17862.26744844
"97222","LE ROBERT",21164.33635563
"97223","SAINT-ESPRIT",19773.70592829
"97224","SAINT-JOSEPH",35280.2443736
"97225","SAINT-PIERRE",4791.72965125
"97226","SAINTE-ANNE",4831.33293803
"97227","SAINTE-LUCE",12420.57631825
"97228","SAINTE-MARIE",13273.5144005
"97229","SCHOELCHER",28736.01909304
"97230","LA TRINITE",13082.87772977
"97231","LES TROIS-ILETS",14556.16787884
"97232","LE VAUCLIN",11033.57474729
"97233","LE MORNE-VERT",17984.83503097
"97234","BELLEFONTAINE",17949.6539222
