"ID","NAMES","P09_POP0014_AsTheCrowFlies_POT_1000"
"97201","L'AJOUPA-BOUILLON",336.00000716
"97202","LES ANSES-D'ARLET",708
"97203","BASSE-POINTE",716.00000336
"97204","LE CARBET",730
"97205","CASE-PILOTE",890
"97206","LE DIAMANT",1329
"97207","DUCOS",2991
"97208","FONDS-SAINT-DENIS",151
"97209","FORT-DE-FRANCE",16865
"97210","LE FRANCOIS",4077
"97211","GRAND'RIVIERE",92
"97212","GROS-MORNE",2084
"97213","LE LAMENTIN",8390
"97214","LE LORRAIN",1409
"97215","MACOUBA",218
"97216","LE MARIGOT",670
"97217","LE MARIN",1900
"97218","LE MORNE-ROUGE",1075
"97219","LE PRECHEUR",333
"97220","RIVIERE-PILOTE",2778
"97221","RIVIERE-SALEE",2911
"97222","LE ROBERT",5047
"97223","SAINT-ESPRIT",1825
"97224","SAINT-JOSEPH",3267
"97225","SAINT-PIERRE",832
"97226","SAINTE-ANNE",996
"97227","SAINTE-LUCE",2008
"97228","SAINTE-MARIE",3659
"97229","SCHOELCHER",3676
"97230","LA TRINITE",2949
"97231","LES TROIS-ILETS",1661
"97232","LE VAUCLIN",1790
"97233","LE MORNE-VERT",314
"97234","BELLEFONTAINE",305
