"ID","NAMES","P09_POP3044_AsTheCrowFlies_ACC_0.1"
"97201","L AJOUPA-BOUILLON",11182.384984418
"97202","LES ANSES-D ARLET",10231.1892721624
"97203","BASSE-POINTE",12953.3021088009
"97204","LE CARBET",9051.50810662988
"97205","CASE-PILOTE",4721.66342682457
"97206","LE DIAMANT",8589.05318609105
"97207","DUCOS",4852.71111274333
"97208","FONDS-SAINT-DENIS",7330.8596353358
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",6207.7542900365
"97211","GRAND RIVIERE",15808.6685706242
"97212","GROS-MORNE",5794.96003365818
"97213","LE LAMENTIN",0
"97214","LE LORRAIN",9233.68192561257
"97215","MACOUBA",14918.1628627351
"97216","LE MARIGOT",7949.14209464117
"97217","LE MARIN",8666.01972853385
"97218","LE MORNE-ROUGE",9042.36160958723
"97219","LE PRECHEUR",15418.141660065
"97220","RIVIERE-PILOTE",6219.65510479963
"97221","RIVIERE-SALEE",5742.73706828252
"97222","LE ROBERT",5734.55593397071
"97223","SAINT-ESPRIT",5403.97123694112
"97224","SAINT-JOSEPH",3663.31414447639
"97225","SAINT-PIERRE",11554.4245850306
"97226","SAINTE-ANNE",11891.2338743581
"97227","SAINTE-LUCE",7013.68000797625
"97228","SAINTE-MARIE",7351.68738663754
"97229","SCHOELCHER",2510.34270559392
"97230","LA TRINITE",7362.49691616558
"97231","LES TROIS-ILETS",7724.8001573217
"97232","LE VAUCLIN",7714.5188003402
"97233","LE MORNE-VERT",7160.73655182667
"97234","BELLEFONTAINE",6793.67022732301
