"ID","NAMES","P09_POP3044_AsTheCrowFlies_POT_2000"
"97201","L AJOUPA-BOUILLON",391.42260231
"97202","LES ANSES-D ARLET",709.08303301
"97203","BASSE-POINTE",802.22292793
"97204","LE CARBET",811.33524195
"97205","CASE-PILOTE",1184.7116582
"97206","LE DIAMANT",1534.46831653
"97207","DUCOS",3591.00283472
"97208","FONDS-SAINT-DENIS",191.24615063
"97209","FORT-DE-FRANCE",17897.83387004
"97210","LE FRANCOIS",4012.00106488
"97211","GRAND RIVIERE",108.6949553
"97212","GROS-MORNE",2076.24291584
"97213","LE LAMENTIN",9022.00007182
"97214","LE LORRAIN",1518.95354008
"97215","MACOUBA",218.97741897
"97216","LE MARIGOT",749.93559027
"97217","LE MARIN",1693.02961282
"97218","LE MORNE-ROUGE",942.01723435
"97219","LE PRECHEUR",284.19507404
"97220","RIVIERE-PILOTE",2641.01701459
"97221","RIVIERE-SALEE",2768.04931475
"97222","LE ROBERT",5234
"97223","SAINT-ESPRIT",1836.00705885
"97224","SAINT-JOSEPH",3465.8673428
"97225","SAINT-PIERRE",796.00020724
"97226","SAINTE-ANNE",1038.00565462
"97227","SAINTE-LUCE",2206.06168729
"97228","SAINTE-MARIE",3592.43092658
"97229","SCHOELCHER",4946.8092158
"97230","LA TRINITE",2888
"97231","LES TROIS-ILETS",1917.40525635
"97232","LE VAUCLIN",1845.00007923
"97233","LE MORNE-VERT",456.81792912
"97234","BELLEFONTAINE",437.70302712
