"ID","NAMES","P09_POP6074_AsTheCrowFlies_ACC_0.5"
"97201","L AJOUPA-BOUILLON",23029.6503061396
"97202","LES ANSES-D ARLET",19480.9881707503
"97203","BASSE-POINTE",25674.0123481035
"97204","LE CARBET",18925.9727015675
"97205","CASE-PILOTE",14833.8387980724
"97206","LE DIAMANT",18978.7289621177
"97207","DUCOS",13035.8433618055
"97208","FONDS-SAINT-DENIS",15388.4201340082
"97209","FORT-DE-FRANCE",11421.9005677486
"97210","LE FRANCOIS",15864.498368463
"97211","GRAND RIVIERE",29578.8576557895
"97212","GROS-MORNE",12010.824722227
"97213","LE LAMENTIN",11006.0563843328
"97214","LE LORRAIN",19931.5169320974
"97215","MACOUBA",28401.1553149714
"97216","LE MARIGOT",17520.0607960332
"97217","LE MARIN",25235.3393040782
"97218","LE MORNE-ROUGE",18844.815325265
"97219","LE PRECHEUR",28857.4618123099
"97220","RIVIERE-PILOTE",20699.2042814907
"97221","RIVIERE-SALEE",16140.7549205567
"97222","LE ROBERT",14110.3485830635
"97223","SAINT-ESPRIT",16092.9084738989
"97224","SAINT-JOSEPH",10528.9679171861
"97225","SAINT-PIERRE",23023.1555550848
"97226","SAINTE-ANNE",29128.2839709533
"97227","SAINTE-LUCE",20173.7733633463
"97228","SAINTE-MARIE",16643.416124565
"97229","SCHOELCHER",13150.4281275218
"97230","LA TRINITE",16934.053882938
"97231","LES TROIS-ILETS",15963.4427439921
"97232","LE VAUCLIN",21651.4419803564
"97233","LE MORNE-VERT",16062.6322172386
"97234","BELLEFONTAINE",16644.508885359
