"ID","NAMES","P09_POP1529_AsTheCrowFlies_ACC_0.1"
"97201","L AJOUPA-BOUILLON",11121.1041205212
"97202","LES ANSES-D ARLET",10453.2706212269
"97203","BASSE-POINTE",12844.2551507771
"97204","LE CARBET",8964.43438724611
"97205","CASE-PILOTE",4530.08800760143
"97206","LE DIAMANT",9110.7285869383
"97207","DUCOS",4794.90510517713
"97208","FONDS-SAINT-DENIS",7292.96227688737
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",6267.55146608066
"97211","GRAND RIVIERE",15701.2503907399
"97212","GROS-MORNE",5727.56530000127
"97213","LE LAMENTIN",0
"97214","LE LORRAIN",9142.39344806197
"97215","MACOUBA",14806.676809177
"97216","LE MARIGOT",7768.52318396463
"97217","LE MARIN",9015.27200042733
"97218","LE MORNE-ROUGE",9033.60773779596
"97219","LE PRECHEUR",15325.4096228441
"97220","RIVIERE-PILOTE",6343.25248292608
"97221","RIVIERE-SALEE",5817.01158836584
"97222","LE ROBERT",5904.24317245667
"97223","SAINT-ESPRIT",5386.16795401133
"97224","SAINT-JOSEPH",3603.83924613591
"97225","SAINT-PIERRE",11507.0048768721
"97226","SAINTE-ANNE",12318.2123728137
"97227","SAINTE-LUCE",7228.44787481984
"97228","SAINTE-MARIE",7159.43185388177
"97229","SCHOELCHER",2351.12033180574
"97230","LA TRINITE",7360.87817035168
"97231","LES TROIS-ILETS",7994.56362510962
"97232","LE VAUCLIN",7810.93773720885
"97233","LE MORNE-VERT",7085.71952330755
"97234","BELLEFONTAINE",6658.9706812883
