"ID","NAMES","P09_POP0014_AsTheCrowFlies_POT_2000"
"97201","L AJOUPA-BOUILLON",403.69992681
"97202","LES ANSES-D ARLET",708.07194459
"97203","BASSE-POINTE",754.87468304
"97204","LE CARBET",746.28305947
"97205","CASE-PILOTE",1176.06546926
"97206","LE DIAMANT",1329.40579347
"97207","DUCOS",2991.00282054
"97208","FONDS-SAINT-DENIS",165.59603141
"97209","FORT-DE-FRANCE",17006.49533935
"97210","LE FRANCOIS",4077.0010585
"97211","GRAND RIVIERE",111.56750207
"97212","GROS-MORNE",2086.11597056
"97213","LE LAMENTIN",8390.00005982
"97214","LE LORRAIN",1422.41314784
"97215","MACOUBA",249.34444772
"97216","LE MARIGOT",721.46527777
"97217","LE MARIN",1900.03082884
"97218","LE MORNE-ROUGE",1075.01643797
"97219","LE PRECHEUR",333.19507404
"97220","RIVIERE-PILOTE",2778.01904442
"97221","RIVIERE-SALEE",2911.04486504
"97222","LE ROBERT",5047
"97223","SAINT-ESPRIT",1825.00631198
"97224","SAINT-JOSEPH",3269.79897457
"97225","SAINT-PIERRE",832.0002365
"97226","SAINTE-ANNE",996.006346
"97227","SAINTE-LUCE",2008.06487422
"97228","SAINTE-MARIE",3663.2592838
"97229","SCHOELCHER",4386.60499965
"97230","LA TRINITE",2949
"97231","LES TROIS-ILETS",1661.35514603
"97232","LE VAUCLIN",1790.00008334
"97233","LE MORNE-VERT",371.96912614
"97234","BELLEFONTAINE",398.85385916
