"ID","NAMES","P09_POP3044_AsTheCrowFlies_POT_0"
"97201","L AJOUPA-BOUILLON",319
"97202","LES ANSES-D ARLET",709
"97203","BASSE-POINTE",766
"97204","LE CARBET",791
"97205","CASE-PILOTE",858
"97206","LE DIAMANT",1534
"97207","DUCOS",3591
"97208","FONDS-SAINT-DENIS",173
"97209","FORT-DE-FRANCE",17736
"97210","LE FRANCOIS",4012
"97211","GRAND RIVIERE",92
"97212","GROS-MORNE",2074
"97213","LE LAMENTIN",9022
"97214","LE LORRAIN",1505
"97215","MACOUBA",186
"97216","LE MARIGOT",697
"97217","LE MARIN",1693
"97218","LE MORNE-ROUGE",942
"97219","LE PRECHEUR",284
"97220","RIVIERE-PILOTE",2641
"97221","RIVIERE-SALEE",2768
"97222","LE ROBERT",5234
"97223","SAINT-ESPRIT",1836
"97224","SAINT-JOSEPH",3463
"97225","SAINT-PIERRE",796
"97226","SAINTE-ANNE",1038
"97227","SAINTE-LUCE",2206
"97228","SAINTE-MARIE",3588
"97229","SCHOELCHER",4205
"97230","LA TRINITE",2888
"97231","LES TROIS-ILETS",1917
"97232","LE VAUCLIN",1845
"97233","LE MORNE-VERT",393
"97234","BELLEFONTAINE",343
