"ID","NAMES","P09_POP4559_AsTheCrowFlies_POT_10000"
"97201","L AJOUPA-BOUILLON",7302.21216962
"97202","LES ANSES-D ARLET",7304.15185395
"97203","BASSE-POINTE",5546.36413928
"97204","LE CARBET",12009.25429725
"97205","CASE-PILOTE",26794.62638067
"97206","LE DIAMANT",10907.54401099
"97207","DUCOS",29365.39767519
"97208","FONDS-SAINT-DENIS",21422.4214904
"97209","FORT-DE-FRANCE",37028.22575662
"97210","LE FRANCOIS",21156.7664856
"97211","GRAND RIVIERE",3371.15224457
"97212","GROS-MORNE",32258.2529734
"97213","LE LAMENTIN",37994.48399227
"97214","LE LORRAIN",10415.78471465
"97215","MACOUBA",3998.25303384
"97216","LE MARIGOT",13898.06224434
"97217","LE MARIN",10869.89962515
"97218","LE MORNE-ROUGE",11826.57494448
"97219","LE PRECHEUR",3266.57036627
"97220","RIVIERE-PILOTE",17036.75186294
"97221","RIVIERE-SALEE",21299.75306201
"97222","LE ROBERT",23815.66400105
"97223","SAINT-ESPRIT",23434.37030717
"97224","SAINT-JOSEPH",39338.31891969
"97225","SAINT-PIERRE",6062.9047737
"97226","SAINTE-ANNE",6461.86627372
"97227","SAINTE-LUCE",15414.50043979
"97228","SAINTE-MARIE",15596.51679848
"97229","SCHOELCHER",31986.22270299
"97230","LA TRINITE",14879.31559767
"97231","LES TROIS-ILETS",16841.22279581
"97232","LE VAUCLIN",13810.19597808
"97233","LE MORNE-VERT",20590.81114478
"97234","BELLEFONTAINE",20245.96689642
