"ID","NAMES","P09_POP1529_AsTheCrowFlies_POT_2000"
"97201","L AJOUPA-BOUILLON",321.95916456
"97202","LES ANSES-D ARLET",581.05501256
"97203","BASSE-POINTE",644.9720884
"97204","LE CARBET",597.44291024
"97205","CASE-PILOTE",1096.35176442
"97206","LE DIAMANT",1037.31027668
"97207","DUCOS",3519.00241406
"97208","FONDS-SAINT-DENIS",146.03634591
"97209","FORT-DE-FRANCE",16875.8677401
"97210","LE FRANCOIS",3364.00090596
"97211","GRAND RIVIERE",110.24645053
"97212","GROS-MORNE",1799.991616
"97213","LE LAMENTIN",7367.00007038
"97214","LE LORRAIN",1282.91065313
"97215","MACOUBA",242.89392641
"97216","LE MARIGOT",593.09989562
"97217","LE MARIN",1383.02614702
"97218","LE MORNE-ROUGE",831.01378752
"97219","LE PRECHEUR",304.19295367
"97220","RIVIERE-PILOTE",2409.01388658
"97221","RIVIERE-SALEE",2450.03665153
"97222","LE ROBERT",4377
"97223","SAINT-ESPRIT",1562.00658551
"97224","SAINT-JOSEPH",3077.60007522
"97225","SAINT-PIERRE",779.00018282
"97226","SAINTE-ANNE",688.00461922
"97227","SAINTE-LUCE",1636.05460681
"97228","SAINTE-MARIE",3564.4646413
"97229","SCHOELCHER",5110.47496278
"97230","LA TRINITE",2517
"97231","LES TROIS-ILETS",1270.27834828
"97232","LE VAUCLIN",1588.00007227
"97233","LE MORNE-VERT",306.80893756
"97234","BELLEFONTAINE",341.85925206
