"ID","NAMES","P09_POP0014_AsTheCrowFlies_ACC_0.1"
"97201","L AJOUPA-BOUILLON",11000.2054992548
"97202","LES ANSES-D ARLET",10349.2745638171
"97203","BASSE-POINTE",12717.6037085096
"97204","LE CARBET",9079.95833923471
"97205","CASE-PILOTE",4807.12440987523
"97206","LE DIAMANT",8755.56318323647
"97207","DUCOS",4981.55593502335
"97208","FONDS-SAINT-DENIS",7336.80598695383
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",6170.918649953
"97211","GRAND RIVIERE",15628.5800230454
"97212","GROS-MORNE",5758.95372520591
"97213","LE LAMENTIN",0
"97214","LE LORRAIN",9049.82768642897
"97215","MACOUBA",14707.4255603537
"97216","LE MARIGOT",7738.26328268624
"97217","LE MARIN",8283.86374969942
"97218","LE MORNE-ROUGE",8956.94030051243
"97219","LE PRECHEUR",15286.5064742171
"97220","RIVIERE-PILOTE",5997.35827900436
"97221","RIVIERE-SALEE",5760.34263478388
"97222","LE ROBERT",5721.36014131601
"97223","SAINT-ESPRIT",5368.08893014234
"97224","SAINT-JOSEPH",3680.65336437651
"97225","SAINT-PIERRE",11460.6053187457
"97226","SAINTE-ANNE",11549.3138878108
"97227","SAINTE-LUCE",6902.26288984278
"97228","SAINTE-MARIE",7164.59178519008
"97229","SCHOELCHER",2574.07240030642
"97230","LA TRINITE",7222.07633227833
"97231","LES TROIS-ILETS",7860.67610467812
"97232","LE VAUCLIN",7473.98342314718
"97233","LE MORNE-VERT",7208.56471442663
"97234","BELLEFONTAINE",6891.10221386365
