"ID","NAMES","P09_POP3044_AsTheCrowFlies_POT_10000"
"97201","L AJOUPA-BOUILLON",6565.48818716
"97202","LES ANSES-D ARLET",7523.29479069
"97203","BASSE-POINTE",4952.75428855
"97204","LE CARBET",11243.92223256
"97205","CASE-PILOTE",25674.89901683
"97206","LE DIAMANT",11077.96771353
"97207","DUCOS",29899.34410443
"97208","FONDS-SAINT-DENIS",20096.6371778
"97209","FORT-DE-FRANCE",36457.70390654
"97210","LE FRANCOIS",21311.91971139
"97211","GRAND RIVIERE",2922.75157204
"97212","GROS-MORNE",31585.87436757
"97213","LE LAMENTIN",38427.12496921
"97214","LE LORRAIN",9513.08421684
"97215","MACOUBA",3517.90237049
"97216","LE MARIGOT",12878.50140076
"97217","LE MARIN",10076.93199872
"97218","LE MORNE-ROUGE",10851.65401297
"97219","LE PRECHEUR",2819.57222552
"97220","RIVIERE-PILOTE",16094.6165158
"97221","RIVIERE-SALEE",21195.4013308
"97222","LE ROBERT",24490.12544853
"97223","SAINT-ESPRIT",23066.81370477
"97224","SAINT-JOSEPH",38753.22241332
"97225","SAINT-PIERRE",5475.95575992
"97226","SAINTE-ANNE",5953.49643836
"97227","SAINTE-LUCE",14903.43789807
"97228","SAINTE-MARIE",14752.56838265
"97229","SCHOELCHER",31029.72581827
"97230","LA TRINITE",14892.65621062
"97231","LES TROIS-ILETS",17156.67814207
"97232","LE VAUCLIN",12887.45515283
"97233","LE MORNE-VERT",19422.81473088
"97234","BELLEFONTAINE",19228.97600395
