"ID","NAMES","P09_POP3044_AsTheCrowFlies_POT_5000"
"97201","L AJOUPA-BOUILLON",2383.69781467
"97202","LES ANSES-D ARLET",2283.85780535
"97203","BASSE-POINTE",1570.14913556
"97204","LE CARBET",1691.50536672
"97205","CASE-PILOTE",9325.8681209
"97206","LE DIAMANT",3358.74786001
"97207","DUCOS",8712.43922024
"97208","FONDS-SAINT-DENIS",1652.64685258
"97209","FORT-DE-FRANCE",23644.05901032
"97210","LE FRANCOIS",5394.55504611
"97211","GRAND RIVIERE",728.63775619
"97212","GROS-MORNE",5517.31374637
"97213","LE LAMENTIN",11509.42573053
"97214","LE LORRAIN",3040.82344365
"97215","MACOUBA",1080.9806658
"97216","LE MARIGOT",4672.39528093
"97217","LE MARIN",3815.40080126
"97218","LE MORNE-ROUGE",2168.51155401
"97219","LE PRECHEUR",632.82889517
"97220","RIVIERE-PILOTE",5651.82609604
"97221","RIVIERE-SALEE",6309.3618839
"97222","LE ROBERT",6429.4583647
"97223","SAINT-ESPRIT",6892.53214725
"97224","SAINT-JOSEPH",15754.87349046
"97225","SAINT-PIERRE",1426.3681135
"97226","SAINTE-ANNE",1828.57119493
"97227","SAINTE-LUCE",4698.4722873
"97228","SAINTE-MARIE",4930.95559789
"97229","SCHOELCHER",19990.64134293
"97230","LA TRINITE",3898.35571216
"97231","LES TROIS-ILETS",3441.97744633
"97232","LE VAUCLIN",3418.53685217
"97233","LE MORNE-VERT",2467.69178817
"97234","BELLEFONTAINE",3343.68016968
