"ID","NAMES","P09_POP6074_AsTheCrowFlies_POT_0"
"97201","L AJOUPA-BOUILLON",254
"97202","LES ANSES-D ARLET",585
"97203","BASSE-POINTE",603
"97204","LE CARBET",587
"97205","CASE-PILOTE",670
"97206","LE DIAMANT",602
"97207","DUCOS",1907
"97208","FONDS-SAINT-DENIS",131
"97209","FORT-DE-FRANCE",11742
"97210","LE FRANCOIS",2515
"97211","GRAND RIVIERE",114
"97212","GROS-MORNE",1441
"97213","LE LAMENTIN",4748
"97214","LE LORRAIN",1106
"97215","MACOUBA",185
"97216","LE MARIGOT",561
"97217","LE MARIN",1202
"97218","LE MORNE-ROUGE",804
"97219","LE PRECHEUR",241
"97220","RIVIERE-PILOTE",1708
"97221","RIVIERE-SALEE",1495
"97222","LE ROBERT",2718
"97223","SAINT-ESPRIT",1275
"97224","SAINT-JOSEPH",2192
"97225","SAINT-PIERRE",583
"97226","SAINTE-ANNE",690
"97227","SAINTE-LUCE",1125
"97228","SAINTE-MARIE",2668
"97229","SCHOELCHER",2912
"97230","LA TRINITE",1783
"97231","LES TROIS-ILETS",874
"97232","LE VAUCLIN",1287
"97233","LE MORNE-VERT",346
"97234","BELLEFONTAINE",163
