"ID","NAMES","P09_POP_AsTheCrowFlies_ACC_0.1"
"97201","L AJOUPA-BOUILLON",10751.0593274432
"97202","LES ANSES-D ARLET",10413.0862639388
"97203","BASSE-POINTE",12470.7898414672
"97204","LE CARBET",8935.16688109889
"97205","CASE-PILOTE",4651.04952020796
"97206","LE DIAMANT",9009.43579220364
"97207","DUCOS",4976.28584927518
"97208","FONDS-SAINT-DENIS",7253.17613009245
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",6238.29901509508
"97211","GRAND RIVIERE",15385.7293827647
"97212","GROS-MORNE",5714.00856510908
"97213","LE LAMENTIN",3184.03414113796
"97214","LE LORRAIN",8866.01211777879
"97215","MACOUBA",14459.7971968776
"97216","LE MARIGOT",7577.27577356051
"97217","LE MARIN",8539.84241695555
"97218","LE MORNE-ROUGE",8807.99490062418
"97219","LE PRECHEUR",15066.6940239165
"97220","RIVIERE-PILOTE",6148.79170076744
"97221","RIVIERE-SALEE",5883.38693987318
"97222","LE ROBERT",5958.25024967821
"97223","SAINT-ESPRIT",5397.04869568657
"97224","SAINT-JOSEPH",3629.39201065137
"97225","SAINT-PIERRE",11282.6917540101
"97226","SAINTE-ANNE",11850.7237449144
"97227","SAINTE-LUCE",7132.24718205043
"97228","SAINTE-MARIE",7085.02216275828
"97229","SCHOELCHER",2461.26368891705
"97230","LA TRINITE",7382.16046338656
"97231","LES TROIS-ILETS",7971.32672011847
"97232","LE VAUCLIN",7589.991907148
"97233","LE MORNE-VERT",7091.86825692957
"97234","BELLEFONTAINE",6721.56876309979
