"ID","NAMES","P09_POP6074_AsTheCrowFlies_POT_10000"
"97201","L AJOUPA-BOUILLON",5114.39560682
"97202","LES ANSES-D ARLET",4087.97819072
"97203","BASSE-POINTE",3911.93191215
"97204","LE CARBET",7922.29272044
"97205","CASE-PILOTE",17191.73920816
"97206","LE DIAMANT",5898.04017928
"97207","DUCOS",17110.80461904
"97208","FONDS-SAINT-DENIS",13984.94930497
"97209","FORT-DE-FRANCE",23243.41681649
"97210","LE FRANCOIS",12345.20751638
"97211","GRAND RIVIERE",2371.02705371
"97212","GROS-MORNE",20339.51257817
"97213","LE LAMENTIN",22931.34770256
"97214","LE LORRAIN",7118.87607733
"97215","MACOUBA",2827.27370161
"97216","LE MARIGOT",9217.03983928
"97217","LE MARIN",6458.60929213
"97218","LE MORNE-ROUGE",8016.64163337
"97219","LE PRECHEUR",2278.46817111
"97220","RIVIERE-PILOTE",9819.25734998
"97221","RIVIERE-SALEE",11935.7369101
"97222","LE ROBERT",14272.47055239
"97223","SAINT-ESPRIT",13460.10868516
"97224","SAINT-JOSEPH",24713.75311179
"97225","SAINT-PIERRE",4239.76774845
"97226","SAINTE-ANNE",3856.88574784
"97227","SAINTE-LUCE",8574.40957898
"97228","SAINTE-MARIE",10060.14401737
"97229","SCHOELCHER",20327.59468612
"97230","LA TRINITE",9163.29232309
"97231","LES TROIS-ILETS",9652.18615435
"97232","LE VAUCLIN",8172.84516863
"97233","LE MORNE-VERT",13380.44393074
"97234","BELLEFONTAINE",13101.79627738
