"ID","NAMES","P09_POP6074_AsTheCrowFlies_ACC_0.1"
"97201","L AJOUPA-BOUILLON",10070.171916017
"97202","LES ANSES-D ARLET",10610.0988866434
"97203","BASSE-POINTE",11763.248548126
"97204","LE CARBET",8700.68773396768
"97205","CASE-PILOTE",4553.39678577819
"97206","LE DIAMANT",9435.0887313084
"97207","DUCOS",5192.38381934668
"97208","FONDS-SAINT-DENIS",7103.12131650717
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",6324.31119598326
"97211","GRAND RIVIERE",14759.2308259476
"97212","GROS-MORNE",5653.76268629585
"97213","LE LAMENTIN",4150.67820048332
"97214","LE LORRAIN",8237.05003495677
"97215","MACOUBA",13793.2103921973
"97216","LE MARIGOT",7069.46977518518
"97217","LE MARIN",8449.18428443711
"97218","LE MORNE-ROUGE",8411.79797913284
"97219","LE PRECHEUR",14489.3132906553
"97220","RIVIERE-PILOTE",6200.64566272893
"97221","RIVIERE-SALEE",6215.7691451614
"97222","LE ROBERT",6208.93010482083
"97223","SAINT-ESPRIT",5484.00805417383
"97224","SAINT-JOSEPH",3612.17291788757
"97225","SAINT-PIERRE",10829.1229997857
"97226","SAINTE-ANNE",11851.0538959358
"97227","SAINTE-LUCE",7452.69059372255
"97228","SAINTE-MARIE",6724.59592099602
"97229","SCHOELCHER",2414.06148727006
"97230","LA TRINITE",7481.40404146605
"97231","LES TROIS-ILETS",8193.42124613712
"97232","LE VAUCLIN",7520.06544495992
"97233","LE MORNE-VERT",6925.976811759
"97234","BELLEFONTAINE",6557.38165762758
