"ID","NAMES","P09_POP3044_AsTheCrowFlies_ACC_0.5"
"97201","L AJOUPA-BOUILLON",23948.6918040443
"97202","LES ANSES-D ARLET",18934.2698512653
"97203","BASSE-POINTE",26571.8014756796
"97204","LE CARBET",19752.3636125353
"97205","CASE-PILOTE",15284.5617748416
"97206","LE DIAMANT",18310.2051908564
"97207","DUCOS",12359.317026472
"97208","FONDS-SAINT-DENIS",16245.179836434
"97209","FORT-DE-FRANCE",11469.5911892673
"97210","LE FRANCOIS",15174.373956294
"97211","GRAND RIVIERE",30517.4645860902
"97212","GROS-MORNE",12190.8755399746
"97213","LE LAMENTIN",10562.601693668
"97214","LE LORRAIN",20724.1164755223
"97215","MACOUBA",29321.678918147
"97216","LE MARIGOT",18147.3088394454
"97217","LE MARIN",24322.7779988449
"97218","LE MORNE-ROUGE",19783.6467008148
"97219","LE PRECHEUR",29802.6667128076
"97220","RIVIERE-PILOTE",19788.4843573594
"97221","RIVIERE-SALEE",15349.0915311547
"97222","LE ROBERT",13726.9881790269
"97223","SAINT-ESPRIT",15260.4076369959
"97224","SAINT-JOSEPH",10637.607477436
"97225","SAINT-PIERRE",23979.9604181616
"97226","SAINTE-ANNE",28215.072266444
"97227","SAINTE-LUCE",19317.8205293433
"97228","SAINTE-MARIE",17014.7357421708
"97229","SCHOELCHER",13398.5689361048
"97230","LA TRINITE",16860.5510037208
"97231","LES TROIS-ILETS",15374.0301945615
"97232","LE VAUCLIN",20792.2871432156
"97233","LE MORNE-VERT",16853.4419986892
"97234","BELLEFONTAINE",17264.0092379234
